Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-15,nan,nan,nan,54339.28,96667774.0,23.13,,,,
2026-06-16,nan,nan,nan,54806.92,46775670.0,23.33,,,,
2026-06-17,nan,nan,nan,54881.27,32995550.0,23.36,,,,
2026-06-18,nan,nan,nan,54833.15,39217385.0,23.34,,,,
2026-06-22,nan,nan,nan,55299.06,46422243.0,23.54,,,,
2026-06-29,nan,nan,nan,56037.77,107540081.0,23.85,,,,
2026-07-06,nan,nan,nan,58369.71,52012548.0,24.97,,,,
2026-07-20,nan,nan,nan,57866.88,42838060.0,24.56,,,,
2026-08-06,nan,nan,nan,61592.13,53193063.0,23.95,,,,
2026-08-27,nan,nan,nan,60294.97,49560441.0,23.22,,,,
2026-08-28,nan,nan,nan,60028.18,52061903.0,23.11,,,,
