Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-15,nan,nan,nan,9150.73,260049997.0,22.41,,,,
2026-06-16,nan,nan,nan,9190.52,236589175.0,22.51,,,,
2026-06-17,nan,nan,nan,9171.68,225902439.0,22.46,,,,
2026-06-18,nan,nan,nan,9336.09,246431048.0,22.86,,,,
2026-06-22,nan,nan,nan,9455.94,302301050.0,23.16,,,,
2026-06-29,nan,nan,nan,9219.22,356515907.0,22.58,,,,
2026-07-06,nan,nan,nan,9183.1,168501086.0,21.42,,,,
2026-07-20,nan,nan,nan,9215.74,181476378.0,21.49,,,,
2026-08-06,nan,nan,nan,8868.49,167329849.0,20.11,,,,
2026-08-27,nan,nan,nan,8616.25,173607353.0,19.59,,,,
2026-08-28,nan,nan,nan,8563.69,103888818.0,19.47,,,,
2026-08-31,nan,nan,nan,8316.73,372825799.0,18.91,,,,
2026-09-01,nan,nan,nan,8374.1,181368137.0,19.04,,,,
2026-09-02,nan,nan,nan,8485.03,138012866.0,19.29,,,,
2026-09-03,nan,nan,nan,8494.01,143826744.0,19.31,,,,
